id,name,instructions,videoUrl,image,muscleGroups,generalMuscleGroups,injuryRisks,category,isTimed,difficulty,caloriesPerMinute
cable_lateral_raise,Cable Lateral Raise,Position a cable at the lowest position possible and attach a single handle. Reach across your body and grab the handle with a neutral grip. Keep the elbow slightly bent and pull the handle across your body and raise laterally. Slowly lower the handle back to the starting,,,Mid Shoulder,Shoulders,Shoulders,Gym,false,Intermediate,5
overhead_dumbbell_extension,Overhead Dumbbell Extension,"Stand or sit while holding a dumbbell with both hands overhead. Lower the weight behind your head by bending your elbows, then extend your arms to lift it back up.",,assets/images/overhead_dumbbell_extension.jpg,Long Head Triceps,Arms,Shoulders,Dumbbells,false,Intermediate,5
plank,Plank,"Forearms on the floor, elbows under shoulders. Keep body straight from head to heels, bracing abs and glutes. Avoid hips dropping or rising.",,assets/images/plank.jpg,Upper Abs;Lower Abs,Core,Shoulders;Lower Back,Bodyweight,true,Beginner,4
plank_shoulder_taps,Plank Shoulder Taps,"Start in a high plank, feet hip-width. Tap one shoulder with the opposite hand, alternating sides. Minimize torso sway by bracing abs and glutes.",,assets/images/plank_shoulder_taps.jpg,Upper Abs;Lower Abs,Core;Shoulders,Wrists,Bodyweight,true,Intermediate,4
preacher_curl,Preacher Curl,"Sit at a preacher bench and rest your arms on the pad. Curl the weight upward, squeeze your biceps, then lower it back down slowly.",,assets/images/preacher_curl.jpg,Short Head Biceps,Arms,Elbows,Gym,false,Intermediate,5
pull_ups,Pull Ups,Grab the handles and pull your chin above the bar and repeat,,,Lats;Upper Back,Back,Shoulders,Gym,false,Advanced,6
incline_pull_machine,Incline Pull Machine,Pull handles down until elbows are by your sides and your hands are approximately level with your shoulders,,,Upper Back;Mid Back,Back,Shoulders,Gym,false,Intermediate,6
glute_bridge,Glute Bridge,"Lie on your back, knees bent, feet flat. Squeeze glutes to lift hips into a straight line from shoulders to knees, then lower slowly.",,assets/images/glute_bridge.jpg,Glutes,Glutes,Lower Back,dumbbells,false,Beginner,4
rest,Rest,Rest day,,assets/images/incline_barbell_press.jpg,,,Rest,,Rest,false,Beginner,0
reverse_fly_dumbbells,Reverse Fly,"Hinge at hips with a flat back, dumbbells below shoulders. Raise arms out to sides, squeezing rear delts and upper back. Keep elbows soft and core tight.",,https://firebasestorage.googleapis.com/v0/b/cashfit-2800f.firebasestorage.app/o/uploads%2F1000012030.jpg?alt=media&token=bc8235b5-60dd-49e0-a436-a536699f119a,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,dumbbells,false,Intermediate,5
reverse_pec_12k_fly,Reverse Pec 12k Fly,"Sit at a pec 12k machine facing the pads. With a slight bend in your elbows, pull the pads outward, squeezing your shoulder blades together, then return slowly.",,assets/images/reverse_pec_12k_fly.jpg,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,Gym,false,Intermediate,5
reverse_plank,Reverse Plank,"Sit with legs straight, hands behind hips. Lift hips to form a straight line from shoulders to heels. Engage glutes and core. Keep shoulders away from ears.",,assets/images/reverse_plank.jpg,Upper Abs;Lower Abs;Glutes,Core;Glutes,Shoulders;Wrists,Bodyweight,true,Intermediate,4
romanian_deadlift_dumbbells,Romanian Deadlift Dumbbells,"Stand with dumbbells in front. Keep shoulders back, core tight, slight knee bend. Hinge at hips, lowering weights near shins. Squeeze hamstrings/glutes to return upright.",,assets/images/romanian_deadlift.jpg,Hamstrings;Glutes,Legs;Glutes,Lower Back,dumbbells,false,Intermediate,5
hanging_leg_raises,Hanging Leg Raises,"Start by grasping the bar tightly, with your palms over the bar instead of holding on with your fingers. Don't jump up and adjust your hands; if you need, step up from a box to make sure you get a good grip.﻿Lift your legs off the floor and pull your shoulders down, squeezing to engage your upper back. Turn the pits of your elbows forward to activate your lats. Squeeze your abs and glutes. Your legs should be slightly in front of your torso.﻿Bend your knees slightly, then curl your legs up. Think about showing your butt to someone standing in front of you.﻿ Lower back down to the starting position.",,,Lower Abs,Core,Shoulders,Gym,false,Intermediate,4
seated_cable_row,Seated Cable Row,"Sit on the bench with your knees bent, grip handle, brace core. Pull handle to your stomach by squeezing shoulder blades. Return with control, maintaining upright posture.",,assets/images/seated_cable_row.jpg,Mid Back;Lats,Back,Lower Back,Gym,false,Intermediate,6
shoulder_press,Shoulder Press,"Sit or stand holding dumbbells at shoulder height, palms forward. Press overhead until arms are nearly locked, then lower under control. Hits front/side delts and triceps.",,assets/images/shoulder_press.jpg,Front Shoulder;Mid Shoulder;Triceps,Shoulders;Arms,Shoulders,dumbbells,false,Intermediate,6
shrugs,Shrugs,"Stand tall with dumbbells at sides. Lift shoulders straight up to ears, pause, then lower slowly. Emphasizes upper traps. Keep neck relaxed.",,assets/images/shrugs.jpg,Traps,Shoulders,Neck,dumbbells,false,Intermediate,5
single_arm_overhand_extension,Single Arm Overhand Extension,"Stand with one dumbbell overhead, palm facing forward. Keep elbow close to head, bend only at the elbow to lower weight behind neck, then extend upward. Targets the long head of the triceps.",,assets/images/single_arm_overhand_extension.jpg,Long Head Triceps,Arms,Elbows;Shoulders,dumbbells,false,Intermediate,5
single_leg_deadlift,Single Leg Deadlift,"Stand on one leg, hinge at hips while extending the other leg behind you. Keep back flat, core braced. Return upright. Enhances balance and hits hamstrings/glutes.",,assets/images/single_leg_deadlift.jpg,Hamstrings;Glutes,Legs;Glutes,Balance;Lower Back,dumbbells,false,Intermediate,5
smith_machine_squat,Smith Machine Squat,"Stand with feet shoulder-width apart, toes slightly turned out. Lower into a squat by pushing your hips back and bending your knees, keeping your chest up. Go as deep ws comfortable, ideally until thighs are parallel to the ground. Push through your heels to stand back up, keeping the weight close to your body. Focus on good posture, knee alignment, and controlled movement for the best results.",,assets/images/smith_machine_squats.jpg,Quads;Glutes,Legs;Glutes,Knees,Gym,false,Intermediate,6
step_ups,Step Ups,"Stand in front of a sturdy step or platform. Step one foot fully onto the step and press through the heel to lift your body up, then step back down. Keep your torso upright and core tight.",,assets/images/step_ups.jpg,Quads;Glutes,Legs;Glutes,Knees,Cardio,false,Intermediate,6
superman_hold,Superman Hold,"Lie face-down with arms extended. Lift arms, chest, and legs simultaneously, squeezing lower back and glutes. Hold briefly, then lower slowly.",,assets/images/superman_hold.jpg,Lower Back;Glutes,Back;Glutes,Lower Back,Bodyweight,true,Beginner,4
towel_row,Towel Row,"Secure a towel around a pole or handle. Lean back holding both ends. Pull your body forward by driving elbows back, then extend arms to return. Keep core tight, back neutral.",,assets/images/towel_row.jpg,Upper Back;Mid Back;Biceps,Back;Arms,Shoulders,Bodyweight,false,Intermediate,4
tricep_dips,Tricep Dips,"Use a bench or chair behind you. Hands on the edge, legs extended or bent. Lower hips by bending elbows, then press back up, focusing on triceps. Keep shoulders away from ears.",,assets/images/tricep_dips.jpg,Long Head Triceps,Arms,Shoulders;Wrists,Bodyweight,false,Intermediate,4
tricep_pushdown_rope,Tricep Pushdown (Rope),"Stand at a cable machine with a rope attachment. With elbows pinned to your sides, push the rope downward until your arms are fully extended, then return slowly.",,assets/images/tricep_pushdown_rope.jpg,Long Head Triceps;Lateral Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,false,Intermediate,5
good_morning_barbell,Good Morning,"Stand with feet shoulder - width apart, bent your knees slightly take a barbell on your trapezius muscles of your upper back. Brace your upper back and abdominals and breath in. Exhale as you hinge at the hips, sending the hips backward and upper body forward. Stop Once your upper body is nearly parallel with the floor. Inhale as you return to the starting position.",,,Hamstrings;Glutes;Lower Back,Legs;Glutes;Back,Lower Back,Gym,false,Intermediate,5
walking_lunges,Walking Lunges,"Step forward and lower into a lunge, push off the front foot to move forward. Alternate legs with each step, keeping torso upright and core engaged.",,assets/images/walking_lunges.jpg,Quads;Glutes,Legs;Glutes,Knees,Bodyweight,false,Intermediate,4
walking_lunges_with_dumbbells,Walking Lunges with Dumbbells,Hold dumbbells at your sides. Step forward into a lunge until both knees form 90° angles. Push through the front heel to stand and bring the rear foot forward to repeat.,,assets/images/walking_lunges_with_dumbbells.jpg,Quads;Glutes,Legs;Glutes,Knees,dumbbells,false,Intermediate,5
wide_grip_lat_pull_down,Wide-Grip Lat Pull-Down,"Sit at a lat pull-down station. Grip the bar wide, pull down toward your upper chest. Focus on squeezing the lats and controlling the bar upward.",,assets/images/wide_grip_lat_pull_down.jpg,Lats;Upper Back,Back,Shoulders,Gym,false,Intermediate,6
wide_push_up,Wide Push Up,"Hands placed wider than shoulder-width. Keep body rigid, core braced. Lower chest toward the floor, then push back up. Targets outer chest, shoulders, arms.",,assets/images/wide_push_up.jpg,Mid Chest;Front Shoulder;Triceps,Chest;Shoulders;Arms,Wrists;Shoulders,Bodyweight,false,Intermediate,4
kneeling_ab_wheel_rollout,Kneeling Ab Wheel Rollout,"Position yourself on your knees with your feet crossed. Hold the ab wheel roller directly under your shoulders with your arms fully extended and head facing the ground, not looking forward. Inhale and push the ab roller forward by raising your arms and leaning forward.",,,Upper Abs;Lower Abs,Core,Lower Back,Gym,false,Intermediate,4
reverse_fly,Reverse Fly,"Raise both arms out to your side on an exhale. Keep soft bend in your elbows. Squeeze the shoulder blades together as you pull them toward the spine, lower the weight back to the start position as you inhale. Avoid hunching your shoulders and keep your chin tucked to maintain neutral spine during the exercise",,,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,dumbbells,false,Intermediate,5
